epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
150,15358.8,0.84256,0.46384,0.83591,0.88607,0.79446,0.86283,0.59169,0.9619,0.4732,0.86546,0.00631225,0.00631225,0.00631225
151,15469,0.83931,0.45879,0.83766,0.89523,0.79572,0.86205,0.59047,0.95881,0.47358,0.86312,0.0062875,0.0062875,0.0062875
152,15577.8,0.84662,0.45796,0.84259,0.90008,0.78607,0.86032,0.5939,0.95593,0.47249,0.86465,0.00626275,0.00626275,0.00626275
153,15682.3,0.83881,0.4549,0.84065,0.90272,0.77846,0.86025,0.59397,0.95077,0.47177,0.86312,0.006238,0.006238,0.006238
154,15789.2,0.83703,0.46103,0.84082,0.88914,0.79027,0.86064,0.59705,0.94954,0.47223,0.86357,0.00621325,0.00621325,0.00621325
155,15899.4,0.84912,0.45575,0.84047,0.87855,0.795,0.86255,0.59419,0.95097,0.47448,0.86197,0.0061885,0.0061885,0.0061885
156,16009,0.83899,0.45732,0.83754,0.88812,0.77913,0.86185,0.59651,0.9486,0.47209,0.86167,0.00616375,0.00616375,0.00616375
157,16114.4,0.83606,0.45164,0.83869,0.90089,0.7844,0.86459,0.59707,0.94165,0.46228,0.86133,0.006139,0.006139,0.006139
158,16223.2,0.84667,0.45437,0.83805,0.89366,0.78959,0.86351,0.59756,0.93894,0.46264,0.86059,0.00611425,0.00611425,0.00611425
159,16323.6,0.83157,0.45128,0.8406,0.92128,0.7693,0.86236,0.59436,0.94168,0.46778,0.86111,0.0060895,0.0060895,0.0060895
160,16430,0.82447,0.44293,0.83843,0.89709,0.78252,0.86168,0.59589,0.94308,0.46898,0.85999,0.00606475,0.00606475,0.00606475
161,16539.9,0.82893,0.45333,0.83344,0.89017,0.78775,0.86154,0.59825,0.94159,0.46639,0.85807,0.00604,0.00604,0.00604
162,16642.8,0.83101,0.45284,0.83887,0.88367,0.79024,0.8628,0.59733,0.9422,0.46293,0.85819,0.00601525,0.00601525,0.00601525
163,16744.3,0.83039,0.45313,0.83514,0.8897,0.78859,0.86226,0.59851,0.9406,0.4564,0.85835,0.0059905,0.0059905,0.0059905
164,16851.9,0.83419,0.45285,0.83822,0.89184,0.79551,0.86398,0.60019,0.94274,0.4577,0.85875,0.00596575,0.00596575,0.00596575
165,16957.2,0.83991,0.45423,0.84525,0.89985,0.78392,0.86427,0.59951,0.93963,0.46358,0.86039,0.005941,0.005941,0.005941
166,17064.6,0.81997,0.4472,0.8377,0.89159,0.79614,0.86555,0.59971,0.9415,0.46425,0.8625,0.00591625,0.00591625,0.00591625
167,17171,0.8127,0.44336,0.8367,0.88402,0.79111,0.86414,0.59875,0.93949,0.4626,0.86075,0.0058915,0.0058915,0.0058915
168,17269.7,0.82429,0.44796,0.83612,0.88671,0.79027,0.86364,0.59837,0.93653,0.46208,0.85892,0.00586675,0.00586675,0.00586675
169,17379.1,0.82027,0.44494,0.83846,0.90511,0.77517,0.86418,0.60009,0.9347,0.45603,0.85904,0.005842,0.005842,0.005842
170,17486.8,0.82104,0.44753,0.83697,0.91086,0.78013,0.86497,0.59977,0.93204,0.44949,0.85958,0.00581725,0.00581725,0.00581725
171,17587.6,0.81071,0.44212,0.8357,0.90566,0.7802,0.86711,0.60158,0.93244,0.4511,0.85918,0.0057925,0.0057925,0.0057925
172,17726.9,0.80968,0.44064,0.83556,0.91694,0.77768,0.86736,0.60136,0.93317,0.45307,0.85916,0.00576775,0.00576775,0.00576775
173,17866.5,0.80931,0.43743,0.83136,0.90231,0.78775,0.86598,0.60325,0.93522,0.45135,0.86031,0.005743,0.005743,0.005743
174,18006.3,0.80501,0.43788,0.83296,0.90528,0.78573,0.86672,0.60469,0.93413,0.45022,0.85951,0.00571825,0.00571825,0.00571825
175,18145.3,0.81628,0.43995,0.8304,0.90629,0.78696,0.86887,0.60392,0.93512,0.44641,0.86024,0.0056935,0.0056935,0.0056935
176,18282.3,0.80326,0.43519,0.83157,0.90752,0.78775,0.86881,0.60304,0.93514,0.44601,0.85854,0.00566875,0.00566875,0.00566875
177,18419.3,0.80017,0.43515,0.83165,0.90219,0.79027,0.87151,0.60155,0.93535,0.44666,0.85831,0.005644,0.005644,0.005644
178,18565.7,0.79888,0.4282,0.833,0.90673,0.7844,0.86974,0.60272,0.93543,0.44856,0.85817,0.00561925,0.00561925,0.00561925
179,18702.9,0.8086,0.43878,0.83155,0.91108,0.78104,0.86907,0.60319,0.93247,0.44886,0.85742,0.0055945,0.0055945,0.0055945
180,18837.1,0.79845,0.4297,0.83051,0.91171,0.78272,0.871,0.60638,0.92775,0.44764,0.85773,0.00556975,0.00556975,0.00556975
181,18983.4,0.79841,0.4307,0.83438,0.90539,0.78674,0.87339,0.60515,0.92685,0.44473,0.85712,0.005545,0.005545,0.005545
182,19124.4,0.78604,0.42872,0.83037,0.90075,0.7844,0.87134,0.60524,0.92475,0.44209,0.85682,0.00552025,0.00552025,0.00552025
